time,clintellimqtt_consumer.value
2019-08-11T17:54:43.018Z,521
2019-08-11T17:54:43.171Z,516
2019-08-11T17:54:43.172Z,519
2019-08-11T17:54:43.173Z,533
2019-08-11T17:54:43.174Z,547
2019-08-11T17:54:43.175Z,559
2019-08-11T17:54:43.176Z,585
2019-08-11T17:54:43.177Z,636
2019-08-11T17:54:43.333Z,651
2019-08-11T17:54:43.334Z,658
2019-08-11T17:54:43.336Z,668
2019-08-11T17:54:43.337Z,660
2019-08-11T17:54:43.340Z,655
2019-08-11T17:54:43.341Z,606
2019-08-11T17:54:43.345Z,585
2019-08-11T17:54:43.346Z,520
2019-08-11T17:54:43.347Z,496
2019-08-11T17:54:43.348Z,497
2019-08-11T17:54:43.349Z,492
2019-08-11T17:54:43.350Z,497
2019-08-11T17:54:43.351Z,501
2019-08-11T17:54:43.357Z,497
2019-08-11T17:54:43.358Z,504
2019-08-11T17:54:43.492Z,506
2019-08-11T17:54:43.495Z,510
2019-08-11T17:54:43.496Z,508
2019-08-11T17:54:43.501Z,505
2019-08-11T17:54:43.502Z,499
2019-08-11T17:54:43.503Z,505
2019-08-11T17:54:43.504Z,505
2019-08-11T17:54:43.505Z,506
2019-08-11T17:54:43.652Z,507
2019-08-11T17:54:43.653Z,506
2019-08-11T17:54:43.654Z,500
2019-08-11T17:54:43.655Z,501
2019-08-11T17:54:43.656Z,506
2019-08-11T17:54:43.657Z,506
2019-08-11T17:54:43.658Z,516
2019-08-11T17:54:43.811Z,523
2019-08-11T17:54:43.812Z,535
2019-08-11T17:54:43.813Z,502
2019-08-11T17:54:43.814Z,512
2019-08-11T17:54:43.815Z,507
2019-08-11T17:54:43.816Z,816
2019-08-11T17:54:43.817Z,355
2019-08-11T17:54:43.974Z,439
2019-08-11T17:54:43.975Z,500
2019-08-11T17:54:43.976Z,512
2019-08-11T17:54:43.977Z,525
2019-08-11T17:54:43.978Z,541
2019-08-11T17:54:43.979Z,554
2019-08-11T17:54:43.980Z,604
2019-08-11T17:54:44.133Z,639
2019-08-11T17:54:44.134Z,674
2019-08-11T17:54:44.135Z,605
2019-08-11T17:54:44.136Z,522
2019-08-11T17:54:44.137Z,487
2019-08-11T17:54:44.138Z,476
2019-08-11T17:54:44.139Z,477
2019-08-11T17:54:44.293Z,482
2019-08-11T17:54:44.295Z,494
2019-08-11T17:54:44.296Z,499
2019-08-11T17:54:44.297Z,498
2019-08-11T17:54:44.298Z,518
2019-08-11T17:54:44.299Z,516
2019-08-11T17:54:44.301Z,497
2019-08-11T17:54:44.302Z,499
2019-08-11T17:54:44.306Z,499
2019-08-11T17:54:44.307Z,495
2019-08-11T17:54:44.308Z,499
2019-08-11T17:54:44.309Z,504
2019-08-11T17:54:44.451Z,497
2019-08-11T17:54:44.452Z,508
2019-08-11T17:54:44.453Z,500
2019-08-11T17:54:44.454Z,507
2019-08-11T17:54:44.455Z,507
2019-08-11T17:54:44.456Z,507
2019-08-11T17:54:44.457Z,499
2019-08-11T17:54:44.458Z,502
2019-08-11T17:54:44.459Z,518
2019-08-11T17:54:44.460Z,522
2019-08-11T17:54:44.461Z,546
2019-08-11T17:54:44.462Z,518
2019-08-11T17:54:44.463Z,518
2019-08-11T17:54:44.464Z,511
2019-08-11T17:54:44.617Z,514
2019-08-11T17:54:44.618Z,520
2019-08-11T17:54:44.619Z,746
2019-08-11T17:54:44.620Z,617
2019-08-11T17:54:44.621Z,485
2019-08-11T17:54:44.622Z,513
2019-08-11T17:54:44.623Z,542
2019-08-11T17:54:44.777Z,535
2019-08-11T17:54:44.778Z,545
2019-08-11T17:54:44.779Z,571
2019-08-11T17:54:44.780Z,593
2019-08-11T17:54:44.781Z,631
2019-08-11T17:54:44.782Z,673
2019-08-11T17:54:44.783Z,675
2019-08-11T17:54:44.784Z,637
2019-08-11T17:54:44.939Z,608
2019-08-11T17:54:44.941Z,578
2019-08-11T17:54:44.942Z,533
2019-08-11T17:54:44.943Z,506
2019-08-11T17:54:44.945Z,498
2019-08-11T17:54:44.946Z,504
2019-08-11T17:54:44.947Z,497
2019-08-11T17:54:44.948Z,509
2019-08-11T17:54:44.949Z,520
2019-08-11T17:54:44.952Z,517
2019-08-11T17:54:44.953Z,523
2019-08-11T17:54:45.103Z,513
2019-08-11T17:54:45.104Z,519
2019-08-11T17:54:45.257Z,518
2019-08-11T17:54:45.258Z,514
2019-08-11T17:54:45.259Z,533
2019-08-11T17:54:45.260Z,530
2019-08-11T17:54:45.261Z,517
2019-08-11T17:54:45.262Z,532
2019-08-11T17:54:45.415Z,516
2019-08-11T17:54:45.416Z,858
2019-08-11T17:54:45.417Z,357
2019-08-11T17:54:45.418Z,520
2019-08-11T17:54:45.419Z,522
2019-08-11T17:54:45.420Z,536
2019-08-11T17:54:45.421Z,546
2019-08-11T17:54:45.575Z,552
2019-08-11T17:54:45.576Z,569
2019-08-11T17:54:45.577Z,596
2019-08-11T17:54:45.578Z,646
2019-08-11T17:54:45.579Z,677
2019-08-11T17:54:45.580Z,631
2019-08-11T17:54:45.581Z,546
2019-08-11T17:54:45.736Z,517
2019-08-11T17:54:45.738Z,504
2019-08-11T17:54:45.739Z,495
2019-08-11T17:54:45.741Z,501
2019-08-11T17:54:45.742Z,498
2019-08-11T17:54:45.745Z,506
2019-08-11T17:54:45.746Z,501
2019-08-11T17:54:45.747Z,510
2019-08-11T17:54:45.749Z,514
2019-08-11T17:54:45.895Z,513
2019-08-11T17:54:45.896Z,511
2019-08-11T17:54:45.897Z,512
2019-08-11T17:54:45.898Z,506
2019-08-11T17:54:45.899Z,511
2019-08-11T17:54:45.901Z,514
2019-08-11T17:54:45.902Z,508
2019-08-11T17:54:45.904Z,520
2019-08-11T17:54:45.905Z,510
2019-08-11T17:54:45.906Z,520
2019-08-11T17:54:45.908Z,516
2019-08-11T17:54:46.053Z,518
2019-08-11T17:54:46.054Z,520
2019-08-11T17:54:46.055Z,523
2019-08-11T17:54:46.056Z,519
2019-08-11T17:54:46.057Z,526
2019-08-11T17:54:46.058Z,550
2019-08-11T17:54:46.059Z,522
2019-08-11T17:54:46.213Z,522
2019-08-11T17:54:46.214Z,520
2019-08-11T17:54:46.215Z,721
2019-08-11T17:54:46.216Z,366
2019-08-11T17:54:46.217Z,516
2019-08-11T17:54:46.218Z,513
2019-08-11T17:54:46.219Z,524
2019-08-11T17:54:46.373Z,528
2019-08-11T17:54:46.374Z,538
2019-08-11T17:54:46.375Z,543
2019-08-11T17:54:46.376Z,549
2019-08-11T17:54:46.377Z,566
2019-08-11T17:54:46.378Z,624
2019-08-11T17:54:46.379Z,664
2019-08-11T17:54:46.380Z,669
2019-08-11T17:54:46.532Z,642
2019-08-11T17:54:46.533Z,580
2019-08-11T17:54:46.534Z,517
2019-08-11T17:54:46.535Z,506
2019-08-11T17:54:46.536Z,496
2019-08-11T17:54:46.537Z,500
2019-08-11T17:54:46.538Z,494
2019-08-11T17:54:46.539Z,502
2019-08-11T17:54:46.691Z,507
2019-08-11T17:54:46.692Z,498
2019-08-11T17:54:46.693Z,495
2019-08-11T17:54:46.694Z,495
2019-08-11T17:54:46.695Z,498
2019-08-11T17:54:46.696Z,495
2019-08-11T17:54:46.697Z,497
2019-08-11T17:54:46.698Z,499
2019-08-11T17:54:46.850Z,505
2019-08-11T17:54:46.851Z,510
2019-08-11T17:54:46.852Z,506
2019-08-11T17:54:46.853Z,507
2019-08-11T17:54:46.854Z,514
2019-08-11T17:54:46.855Z,526
2019-08-11T17:54:46.856Z,541
2019-08-11T17:54:47.008Z,518
2019-08-11T17:54:47.009Z,511
2019-08-11T17:54:47.010Z,516
2019-08-11T17:54:47.011Z,505
2019-08-11T17:54:47.012Z,853
2019-08-11T17:54:47.013Z,436
2019-08-11T17:54:47.014Z,507
2019-08-11T17:54:47.170Z,516
2019-08-11T17:54:47.171Z,525
2019-08-11T17:54:47.172Z,529
2019-08-11T17:54:47.173Z,554
2019-08-11T17:54:47.174Z,578
2019-08-11T17:54:47.175Z,627
2019-08-11T17:54:47.334Z,655
2019-08-11T17:54:47.335Z,660
2019-08-11T17:54:47.336Z,583
2019-08-11T17:54:47.337Z,510
2019-08-11T17:54:47.338Z,485
2019-08-11T17:54:47.339Z,478
2019-08-11T17:54:47.340Z,492
2019-08-11T17:54:47.491Z,506
2019-08-11T17:54:47.492Z,506
2019-08-11T17:54:47.493Z,501
2019-08-11T17:54:47.494Z,498
2019-08-11T17:54:47.495Z,505
2019-08-11T17:54:47.496Z,502
2019-08-11T17:54:47.497Z,507
2019-08-11T17:54:47.650Z,506
2019-08-11T17:54:47.651Z,500
2019-08-11T17:54:47.652Z,509
2019-08-11T17:54:47.653Z,538
2019-08-11T17:54:47.654Z,512
2019-08-11T17:54:47.655Z,514
2019-08-11T17:54:47.656Z,524
2019-08-11T17:54:47.810Z,519
2019-08-11T17:54:47.811Z,845
2019-08-11T17:54:47.812Z,358
2019-08-11T17:54:47.813Z,513
2019-08-11T17:54:47.814Z,523
2019-08-11T17:54:47.815Z,542
2019-08-11T17:54:47.816Z,540
2019-08-11T17:54:47.969Z,554
2019-08-11T17:54:47.970Z,560
2019-08-11T17:54:47.985Z,645
2019-08-11T17:54:47.993Z,586
2019-08-11T17:54:48.131Z,536
2019-08-11T17:54:48.132Z,531
2019-08-11T17:54:48.288Z,536
2019-08-11T17:54:48.289Z,533
2019-08-11T17:54:48.290Z,530
2019-08-11T17:54:48.291Z,533
2019-08-11T17:54:48.292Z,524
2019-08-11T17:54:48.293Z,531
2019-08-11T17:54:48.294Z,538
2019-08-11T17:54:48.447Z,535
2019-08-11T17:54:48.448Z,531
2019-08-11T17:54:48.449Z,545
2019-08-11T17:54:48.450Z,553
2019-08-11T17:54:48.451Z,526
2019-08-11T17:54:48.452Z,540
2019-08-11T17:54:48.453Z,542
2019-08-11T17:54:48.454Z,616
2019-08-11T17:54:48.606Z,806
2019-08-11T17:54:48.607Z,879
2019-08-11T17:54:48.608Z,368
2019-08-11T17:54:48.609Z,535
2019-08-11T17:54:48.610Z,541
2019-08-11T17:54:48.611Z,542
2019-08-11T17:54:48.612Z,548
2019-08-11T17:54:48.613Z,555
2019-08-11T17:54:48.765Z,572
2019-08-11T17:54:48.766Z,589
2019-08-11T17:54:48.767Z,608
2019-08-11T17:54:48.768Z,653
2019-08-11T17:54:48.769Z,658
2019-08-11T17:54:48.770Z,673
2019-08-11T17:54:48.771Z,618
2019-08-11T17:54:48.772Z,569
2019-08-11T17:54:48.774Z,536
2019-08-11T17:54:48.775Z,504
2019-08-11T17:54:48.776Z,500
2019-08-11T17:54:48.925Z,494
2019-08-11T17:54:48.926Z,497
2019-08-11T17:54:48.927Z,502
2019-08-11T17:54:48.928Z,508
2019-08-11T17:54:48.929Z,504
2019-08-11T17:54:48.930Z,507
2019-08-11T17:54:48.931Z,493
2019-08-11T17:54:49.085Z,506
2019-08-11T17:54:49.086Z,497
2019-08-11T17:54:49.087Z,495
2019-08-11T17:54:49.088Z,498
2019-08-11T17:54:49.089Z,501
2019-08-11T17:54:49.090Z,501
2019-08-11T17:54:49.091Z,506
2019-08-11T17:54:49.092Z,512
2019-08-11T17:54:49.093Z,509
2019-08-11T17:54:49.244Z,517
2019-08-11T17:54:49.245Z,555
2019-08-11T17:54:49.246Z,519
2019-08-11T17:54:49.247Z,513
2019-08-11T17:54:49.248Z,519
2019-08-11T17:54:49.249Z,703
2019-08-11T17:54:49.250Z,838
2019-08-11T17:54:49.402Z,957
2019-08-11T17:54:49.403Z,385
2019-08-11T17:54:49.404Z,522
2019-08-11T17:54:49.405Z,519
2019-08-11T17:54:49.406Z,524
2019-08-11T17:54:49.407Z,532
2019-08-11T17:54:49.408Z,557
2019-08-11T17:54:49.409Z,554
2019-08-11T17:54:49.562Z,578
2019-08-11T17:54:49.563Z,603
2019-08-11T17:54:49.564Z,641
2019-08-11T17:54:49.565Z,666
2019-08-11T17:54:49.566Z,664
2019-08-11T17:54:49.567Z,578
2019-08-11T17:54:49.568Z,511
2019-08-11T17:54:49.569Z,494
2019-08-11T17:54:49.722Z,501
2019-08-11T17:54:49.723Z,506
2019-08-11T17:54:49.724Z,516
2019-08-11T17:54:49.725Z,512
2019-08-11T17:54:49.726Z,512
2019-08-11T17:54:49.727Z,505
2019-08-11T17:54:49.728Z,504
2019-08-11T17:54:49.880Z,511
2019-08-11T17:54:49.881Z,512
2019-08-11T17:54:49.882Z,507
2019-08-11T17:54:49.883Z,508
2019-08-11T17:54:49.884Z,504
2019-08-11T17:54:49.885Z,509
2019-08-11T17:54:49.886Z,520
2019-08-11T17:54:50.039Z,543
2019-08-11T17:54:50.040Z,519
2019-08-11T17:54:50.041Z,513
2019-08-11T17:54:50.042Z,520
2019-08-11T17:54:50.043Z,521
2019-08-11T17:54:50.044Z,907
2019-08-11T17:54:50.045Z,390
2019-08-11T17:54:50.046Z,470
2019-08-11T17:54:50.197Z,516
2019-08-11T17:54:50.198Z,518
2019-08-11T17:54:50.199Z,525
2019-08-11T17:54:50.200Z,530
2019-08-11T17:54:50.201Z,543
2019-08-11T17:54:50.202Z,564
2019-08-11T17:54:50.203Z,598
2019-08-11T17:54:50.204Z,605
2019-08-11T17:54:50.356Z,642
2019-08-11T17:54:50.357Z,661
2019-08-11T17:54:50.358Z,614
2019-08-11T17:54:50.359Z,588
2019-08-11T17:54:50.360Z,559
2019-08-11T17:54:50.363Z,519
2019-08-11T17:54:50.364Z,496
2019-08-11T17:54:50.369Z,488
2019-08-11T17:54:50.370Z,478
2019-08-11T17:54:50.371Z,484
2019-08-11T17:54:50.373Z,495
2019-08-11T17:54:50.515Z,497
2019-08-11T17:54:50.516Z,504
2019-08-11T17:54:50.517Z,505
2019-08-11T17:54:50.518Z,514
2019-08-11T17:54:50.519Z,507
